recipeid,vegetarian,vegan,gluten_free,dairy_free,nut_free,low_carb,keto,paleo
0,0,0,0,0,1,0,0,0
1,1,0,1,1,1,0,0,1
2,1,0,0,0,1,0,0,0
3,0,0,0,0,1,0,0,0
4,1,1,1,0,1,0,0,0
5,1,1,1,1,1,0,0,0
6,1,0,1,0,1,0,0,0
7,1,1,1,1,1,0,0,0
8,0,0,0,0,1,0,0,0
9,1,0,1,0,1,0,0,0
10,1,0,1,0,1,1,0,0
11,0,0,1,1,1,0,0,0
12,0,0,1,0,1,0,0,0
13,0,0,0,0,1,0,0,0
14,0,0,1,0,1,0,0,0
15,0,0,1,0,1,0,0,0
16,0,0,1,1,1,0,0,0
17,1,0,1,0,1,1,0,1
18,0,0,0,0,1,0,0,0
19,1,1,1,1,0,0,0,1
20,1,0,1,0,1,0,0,1
21,1,1,1,1,0,0,0,1
22,1,0,1,0,0,0,0,0
23,1,0,1,0,1,0,0,0
24,0,0,1,1,1,1,1,0
25,1,1,1,1,1,1,0,1
26,1,1,1,1,1,0,0,0
27,0,0,1,0,1,0,0,0
28,1,1,1,1,1,1,0,0
29,0,0,1,1,1,0,0,0
30,1,1,1,1,1,1,0,1
31,0,0,1,0,1,0,0,0
32,1,1,1,1,1,1,0,0
33,0,0,1,0,1,0,0,0
34,1,0,1,0,1,0,0,0
35,1,1,1,1,1,1,0,0
36,1,0,0,0,1,0,0,1
37,0,0,1,0,1,1,0,0
38,1,0,0,0,1,0,0,1
39,1,0,1,1,1,1,1,1
40,1,0,1,0,1,0,0,0
41,1,0,1,0,1,0,0,1
42,1,0,0,0,1,0,0,1
43,0,0,1,1,1,1,0,0
44,1,0,0,0,1,0,0,0
45,0,0,1,0,1,0,0,0
46,1,1,0,1,1,0,0,0
47,0,0,1,1,1,0,0,0
48,0,0,1,1,1,0,0,0
49,0,0,1,0,0,0,0,0
50,0,0,1,0,1,0,0,0
51,1,0,1,0,1,1,1,0
52,1,0,1,0,1,1,1,1
53,1,0,0,0,1,0,0,0
54,1,0,0,0,1,0,0,0
55,1,0,1,0,1,0,0,0
56,0,0,1,1,1,0,0,0
57,0,0,1,1,1,0,0,0
58,0,0,0,0,0,0,0,0
59,0,0,1,0,1,0,0,0
60,0,0,1,1,1,0,0,0
61,0,0,1,1,1,0,0,0
62,1,0,1,0,0,0,0,1
63,1,0,1,0,1,0,0,0
64,1,1,1,1,1,1,0,1
65,1,0,1,0,1,0,0,0
66,0,0,1,1,1,0,0,0
67,0,0,0,0,0,1,1,0
68,1,0,0,0,1,0,0,0
69,1,0,0,0,0,0,0,1
70,1,0,0,0,0,0,0,0
71,1,0,1,1,1,0,0,0
72,1,0,0,0,1,0,0,1
73,0,0,1,1,1,1,0,0
