recipeid,category_id
0,1
1,1
2,1
3,1
4,3
5,3
6,3
7,3
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,2
16,1
17,1
18,1
19,1
20,1
21,1
22,2
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,3
36,2
37,1
38,1
39,1
40,1
41,3
42,2
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,2
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,2
69,2
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,2
81,2
82,1
83,1
84,3
85,3
86,2
87,1
88,1
89,1
90,1
91,2
92,1
93,1
94,1
95,1
96,2
97,1
98,1
99,1
100,1
101,1
103,1
104,3
105,3
106,1
107,3
108,1
109,1
110,1
111,1
112,1
113,1
114,2
115,2
116,2
117,2
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,2
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,3
142,1
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,1
152,1
153,1
154,1
155,1
156,1
157,2
158,1
159,1
160,1
161,1
162,2
163,1
164,2
165,1
166,2
167,2
168,3
169,2
170,2
171,1
172,1
173,1
174,3
175,2
176,1
177,1
178,2
179,1
180,2
181,2
182,1
183,1
184,2
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,2
196,1
197,3
198,3
199,3
200,3
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,2
212,3
213,3
214,2
215,1
216,2
217,1
218,1
219,2
220,3
221,3
222,1
223,1
224,1
225,1
226,3
227,2
228,2
229,1
230,3
231,1
232,1
233,1
234,2
235,3
236,3
237,3
238,3
239,1
240,3
241,3
242,3
243,1
244,2
245,2
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,2
267,1
268,1
269,1
270,2
271,2
272,1
273,1
274,1
275,3
276,2
277,1
278,2
279,3
280,3
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,2
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,3
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,3
324,3
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,3
349,2
351,3
352,3
353,3
354,3
355,3
356,3
357,3
358,3
359,3
360,3
361,1
362,1
363,1
364,1
366,1
367,1
368,1
369,1
370,3
371,1
372,2
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,3
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,3
393,3
394,3
395,3
396,3
397,1
398,3
399,3
400,2
401,2
402,1
403,3
404,1
405,3
406,3
407,1
408,1
409,1
410,3
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,3
428,1
429,1
430,3
431,3
432,3
433,3
434,3
435,3
436,3
437,3
438,1
439,1
440,1
441,1
442,1
443,1
444,3
445,3
446,3
447,1
448,1
449,1
450,1
451,1
452,1
453,2
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,2
464,2
465,2
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,1
480,1
481,3
482,1
483,1
484,1
485,1
486,2
488,2
489,2
490,1
491,2
492,2
493,1
494,1
495,1
496,3
497,1
498,1
499,1
500,2
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,2
510,1
511,3
512,1
513,1
514,1
515,1
516,1
517,1
518,2
519,2
520,1
521,1
522,2
523,2
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,3
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,2
545,2
546,1
547,1
548,1
549,3
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,2
568,2
569,2
570,2
571,2
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,2
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,2
618,1
619,1
620,1
621,1
622,1
623,1
624,2
625,1
626,1
627,1
628,3
629,3
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,3
638,1
639,2
640,1
641,1
642,1
643,2
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,3
679,1
680,1
681,1
682,1
683,1
684,1
685,2
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,3
707,1
709,2
710,1
711,2
712,3
713,1
714,1
715,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,3
750,1
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,2
760,1
761,1
762,1
763,3
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,3
780,1
781,1
782,1
783,1
784,1
785,2
786,1
787,1
788,1
789,1
790,1
791,1
792,2
793,1
794,1
795,1
796,3
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,1
818,2
